[2026-03-17T17:51:29.304Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/chunk-XLYX4ZTG.js?v=ac0becae → 200 (12ms, 11585B)
[2026-03-17T17:51:29.304Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/chunk-EYE7376K.js?v=ac0becae → 200 (12ms, 1281B)
[2026-03-17T17:51:29.304Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/chunk-7HXCKB66.js?v=ac0becae → 200 (14ms, 12803B)
[2026-03-17T17:51:29.304Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/chunk-6ZMM2PAV.js?v=ac0becae → 200 (14ms, 196B)
[2026-03-17T17:51:29.304Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/chunk-YYEJ75AP.js?v=ac0becae → 200 (14ms, 4349B)
[2026-03-17T17:51:29.311Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/chunk-QFCZLKWY.js?v=ac0becae → 200 (8ms, 1242B)
[2026-03-17T17:54:57.723Z] GET blob:http://localhost:5173/cb6baaa8-c725-4221-903c-4a5ed7357089 → pending (?ms, ?B)
[2026-03-17T17:55:08.087Z] GET http://localhost:5173/ → pending (?ms, ?B)
[2026-03-17T17:55:09.941Z] GET http://localhost:5173/@vite/client → 200 (39ms, 179100B)
[2026-03-17T17:55:09.941Z] GET http://localhost:5173/src/main.tsx → 200 (32ms, 2233B)
[2026-03-17T17:55:09.944Z] GET http://localhost:5173/@react-refresh → 200 (93ms, 111894B)
[2026-03-17T17:55:09.976Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=ac0becae → 200 (?ms, 12447B)
[2026-03-17T17:55:09.977Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/react.js?v=ac0becae → 200 (?ms, 1352B)
[2026-03-17T17:55:09.977Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/react-dom_client.js?v=ac0becae → 200 (?ms, 993799B)
[2026-03-17T17:55:09.977Z] GET http://localhost:5173/src/App.tsx → 200 (63ms, 18046B)
[2026-03-17T17:55:09.977Z] GET http://localhost:5173/src/styles/globals.css → 200 (64ms, 89435B)
